precision,recall,f1-score,support
1.0,0.8222222222222222,0.9024390243902439,45.0
0.9769230769230769,0.9407407407407408,0.9584905660377359,135.0
0.9181818181818182,0.8559322033898306,0.8859649122807017,118.0
0.9365079365079365,0.921875,0.9291338582677166,192.0
0.9562043795620438,0.966789667896679,0.9614678899082569,271.0
0.9454545454545454,0.8,0.8666666666666666,65.0
0.9465648854961832,0.9117647058823529,0.9288389513108614,136.0
0.96,0.4444444444444444,0.6075949367088608,54.0
0.9229898074745186,0.9963325183374083,0.958259847148736,818.0
0.9372955288985824,0.9372955288985824,0.9372955288985824,0.9372955288985824
0.9514251610666804,0.851122389212631,0.8887618503021977,1834.0
0.9384972808053926,0.9372955288985824,0.9339277281220678,1834.0
