precision,recall,f1-score,support
0.7674418604651163,0.7333333333333333,0.7499999999999999,45.0
0.8979591836734694,0.6518518518518519,0.7553648068669527,135.0
0.8942307692307693,0.788135593220339,0.8378378378378378,118.0
0.8282208588957055,0.703125,0.7605633802816901,192.0
0.7631578947368421,0.7490774907749077,0.7560521415270018,271.0
0.6842105263157895,0.6,0.639344262295082,65.0
0.8899082568807339,0.7132352941176471,0.7918367346938776,136.0
0.32,0.5925925925925926,0.41558441558441556,54.0
0.8926174496644296,0.9755501222493888,0.9322429906542057,818.0
0.8276990185387132,0.8276990185387132,0.8276990185387132,0.8276990185387132
0.7708607555403173,0.7229890309044511,0.7376473966378959,1834.0
0.8397246890073875,0.8276990185387132,0.8286646188244557,1834.0
