precision,recall,f1-score,support
0.7555555555555555,0.7555555555555555,0.7555555555555555,45.0
0.9710144927536232,0.9925925925925926,0.9816849816849818,135.0
0.8292682926829268,0.864406779661017,0.8464730290456431,118.0
0.9057591623036649,0.9010416666666666,0.9033942558746737,192.0
0.9553903345724907,0.948339483394834,0.9518518518518517,271.0
0.7611940298507462,0.7846153846153846,0.7727272727272727,65.0
0.9147286821705426,0.8676470588235294,0.8905660377358491,136.0
0.5238095238095238,0.4074074074074074,0.4583333333333333,54.0
0.944578313253012,0.9584352078239609,0.9514563106796117,818.0
0.9133042529989095,0.9133042529989095,0.9133042529989095,0.9133042529989095
0.8401442652168984,0.8311156818378831,0.8346714031654192,1834.0
0.9108989324601655,0.9133042529989095,0.911777728969421,1834.0
