precision,recall,f1-score,support
0.975,0.8666666666666667,0.9176470588235294,45.0
1.0,0.9777777777777777,0.9887640449438202,135.0
0.956140350877193,0.923728813559322,0.939655172413793,118.0
0.9631578947368421,0.953125,0.9581151832460733,192.0
0.9535714285714286,0.985239852398524,0.9691470054446462,271.0
0.9508196721311475,0.8923076923076924,0.9206349206349206,65.0
0.9485294117647058,0.9485294117647058,0.9485294117647058,136.0
0.8421052631578947,0.5925925925925926,0.6956521739130435,54.0
0.9679715302491103,0.9975550122249389,0.9825406381697772,818.0
0.9623773173391494,0.9623773173391494,0.9623773173391494,0.9623773173391494
0.9508106168320357,0.9041692021435801,0.9245206232615898,1834.0
0.9613530038051595,0.9623773173391494,0.9609477955144489,1834.0
