precision,recall,f1-score,support
1.0,0.7636363636363637,0.865979381443299,55.0
0.991869918699187,0.953125,0.9721115537848606,128.0
0.96,0.8571428571428571,0.9056603773584904,112.0
0.9278350515463918,0.967741935483871,0.9473684210526316,186.0
0.9602888086642599,0.9743589743589743,0.9672727272727273,273.0
0.9384615384615385,0.7721518987341772,0.8472222222222223,79.0
0.9411764705882353,0.9572649572649573,0.9491525423728814,117.0
1.0,0.5932203389830508,0.7446808510638298,59.0
0.9351535836177475,0.9963636363636363,0.9647887323943662,825.0
0.9465648854961832,0.9465648854961832,0.9465648854961832,0.9465648854961832
0.961642819064151,0.8705562179964319,0.9071374232183675,1834.0
0.9481861117930176,0.9465648854961832,0.944186131646968,1834.0
