precision,recall,f1-score,support
0.9736842105263158,0.8222222222222222,0.891566265060241,45.0
1.0,0.9185185185185185,0.9575289575289575,135.0
0.9724770642201835,0.8983050847457628,0.9339207048458149,118.0
0.9421052631578948,0.9322916666666666,0.93717277486911,192.0
0.9602888086642599,0.981549815498155,0.9708029197080293,271.0
0.9642857142857143,0.8307692307692308,0.8925619834710744,65.0
0.9615384615384616,0.9191176470588235,0.9398496240601504,136.0
1.0,0.48148148148148145,0.65,54.0
0.9230769230769231,0.9975550122249389,0.9588719153936546,818.0
0.9449291166848419,0.9449291166848419,0.9449291166848419,0.9449291166848419
0.9663840494966391,0.8646456310206445,0.9035861272152257,1834.0
0.9472275278084631,0.9449291166848419,0.9421524552734357,1834.0
