precision,recall,f1-score,support
1.0,0.7636363636363637,0.865979381443299,55.0
0.9833333333333333,0.921875,0.9516129032258064,128.0
0.97,0.8660714285714286,0.9150943396226415,112.0
0.9375,0.967741935483871,0.9523809523809523,186.0
0.9527272727272728,0.9597069597069597,0.9562043795620437,273.0
0.9696969696969697,0.810126582278481,0.8827586206896552,79.0
0.9658119658119658,0.9658119658119658,0.9658119658119658,117.0
1.0,0.423728813559322,0.5952380952380952,59.0
0.919732441471572,1.0,0.9581881533101045,825.0
0.9411123227917121,0.9411123227917121,0.9411123227917121,0.9411123227917121
0.9665335536712347,0.8531887832275991,0.8936965323649514,1834.0
0.9440357344282004,0.9411123227917121,0.9370091284229456,1834.0
